region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2000,11,other,1,1,1,0.9797658746050467,0.725495052845682,1.397631907872002,0.9691201436932657,0.6969235359120304,1.4355740835253163
Confluence,2000,11,pdiapfor,1,1,1,1.6815574408881009,1.3947785860161699,2.0184682142494155,1.7419035978682844,1.422442509530578,2.140095894050583
Confluence,2000,12,acartela,1,1,1,0.9878932102744189,0.8841537913318778,1.1044992953103814,0.9768188951006226,0.8434378729013131,1.1323552192120947
Confluence,2000,12,allcopnaup,1,1,1,1.0820256919267432,0.8174037352103565,2.7135327324050706,1.1010731639382618,0.7618562186623461,3.3587675534531356
Confluence,2000,12,daphnia,1,1,1,1.3911474090065776,0.979460189884869,Inf,1.528894493928299,0.9630395862848442,Inf
Confluence,2000,12,eurytem,1,1,1,0.9428778797576078,0.8305515793530782,1.0818580418698835,0.9144150537205715,0.7692494792321173,1.0984818987639475
Confluence,2000,12,limno,1,1,1,0.9562639997599561,0.8358260282120331,1.0858315709176445,0.9476784180015639,0.7948400914563917,1.1260171818289006
Confluence,2000,12,mysid,1,1,1,0.9962603841474587,0.8578847553079493,1.1689758717371057,1.0023459612582393,0.8199567219261332,1.2455254837114054
Confluence,2000,12,othcalad,1,1,1,0.6066639908854774,0.5325321936249955,0.6965308505516405,0.5199867189046175,0.4354102790214376,0.6238834125345679
Confluence,2000,12,othcaljuv,1,1,1,0.9086156845566684,0.8456330433849562,0.9725982325601222,0.8847933552302951,0.8029367629807916,0.9675725792484587
Confluence,2000,12,othclad,1,1,1,1.3341955789344864,1.101791177627178,1.963023211037298,1.4610530044154315,1.1369966468095491,2.3631437977282697
Confluence,2000,12,othcyc,1,1,1,0.8830655941261192,0.7680071117601174,0.9976317682356921,0.8556238998831127,0.7126053178660556,1.0038808195383668
Confluence,2000,12,other,1,1,1,0.9461733682545834,0.817486927033937,1.1080787552232876,0.9185355583620621,0.7507243729466835,1.1439144477763683
Confluence,2000,12,pdiapfor,1,1,1,1.3151683657834805,1.184988110435666,1.449015174421076,1.4291526839396864,1.2479298504783012,1.619413120037348
Confluence,2001,1,acartela,1,1,1,0.6312377712674846,0.3729458656863722,1.095028555843268,0.43207844608394275,0.25697358862261904,0.7786257723707996
Confluence,2001,1,allcopnaup,1,1,1,1.60170854161769,0.5598793064585978,7.534911444190132,1.4887246739748519,0.5331700077058156,6.958595049311522
Confluence,2001,1,daphnia,1,1,1,23.193719392934796,7.30070414975513,Inf,35.55908776259103,11.577645584313924,Inf
Confluence,2001,1,eurytem,1,1,1,0.5087776404861031,0.2744462810143618,1.035737608301222,0.4111557461567492,0.21293401460329336,0.8114064496602845
Confluence,2001,1,limno,1,1,1,0.3709248013249019,0.17884973645584754,0.8066194655063679,0.23278105570287566,0.10877929101273673,0.5015734972823807
Confluence,2001,1,mysid,1,1,1,0.8601594516796596,0.37190199574114413,1.9946298234293696,0.6254263554577092,0.269281814512113,1.4208567332770434
Confluence,2001,1,othcalad,1,1,1,0.5167266321136973,0.2475973644183963,1.0206422512319249,0.7375747395432755,0.35242355568184774,1.48967609558303
Confluence,2001,1,othcaljuv,1,1,1,1.4324894940161301,0.9840552538750327,2.005402338390755,1.4924922786686952,1.0355277389639408,2.1178819331948455
Confluence,2001,1,othclad,1,1,1,13.98229010467378,7.01308909804591,39.37423995392615,19.77280941499462,9.918837647575,54.21258859033613
Confluence,2001,1,othcyc,1,1,1,0.49125092072420307,0.25255900446671753,0.8984594568255162,0.3952909341562154,0.20071224840737048,0.7229474763520982
Confluence,2001,1,other,1,1,1,2.2157389853381924,0.9609968981631718,5.070903463755553,3.1894348947757427,1.3903661218379835,7.0061559005413425
Confluence,2001,1,pdiapfor,1,1,1,1.2214915453873227,0.7036171071194484,2.068145932279355,0.9164227979752044,0.5270059923840242,1.4929134605076881
Confluence,2001,2,acartela,1,1,1,0.004485452677453526,0,0.010086014596721303,0.004485452677453526,0,0.010086014596721303
Confluence,2001,2,allcopnaup,1,1,1,0.4642284092758973,0.2317879815950106,0.9126056591655113,0.4642284092758973,0.2317879815950106,0.9126056591655113
Confluence,2001,2,daphnia,1,1,1,28.917701400158265,17.386923657815906,46.92056399305327,28.917701400158265,17.386923657815906,46.92056399305327
Confluence,2001,2,eurytem,1,1,1,0.08405556658080349,0.052640512948773394,0.13790517357531262,0.08405556658080349,0.052640512948773394,0.13790517357531262
Confluence,2001,2,limno,1,1,1,0.006777800921309917,0.0032557208992953475,0.013390015766295005,0.006777800921309917,0.0032557208992953475,0.013390015766295005
Confluence,2001,2,mysid,1,1,1,0.006137616508491187,0,0.016876489139305974,0.006137616508491187,0,0.016876489139305974
Confluence,2001,2,othcalad,1,1,1,2.6268125172989953,1.4625310969366456,4.7345130339060795,2.6268125172989953,1.4625310969366456,4.7345130339060795
Confluence,2001,2,othcaljuv,1,1,1,0.324745023872706,0.24916098290620933,0.4400052409624368,0.324745023872706,0.24916098290620933,0.4400052409624368
Confluence,2001,2,othclad,1,1,1,20.871929896674402,14.694825986773038,30.92224179630392,20.871929896674402,14.694825986773038,30.92224179630392
