"Cohort_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
2007,"Alt1",823.052549750241,797.759244342899,638719.834734941,-2606.45415583367,-7032.59996842209,-6344.32678651517,-7603.99738850656,-4885.52732733433
2007,"Alt2v1wTUCP",822.108268814179,811.526946354876,618943.481705442,-2603.23781698609,-4475,-3176.79620484902,-4040.51724137931,-3846.43417894961
2007,"Alt2v1woTUCP",822.108268814179,811.526946354876,618951.774733691,-2603.24922402958,-4475,-3175.78631758635,-4040.51724137931,-3846.41667450976
2007,"Alt2v2noTUCP",822.108268814179,808.587622703295,619272.13489912,-2215.91937424205,-4475,-3407.46600413617,-4040.51724137931,-2573.3121245611
2007,"Alt2v3noTUCP",822.108268814179,802.41076439084,623311.374632018,-2221.22475683152,-4475,-3420.76503146368,-4040.51724137931,-2417.71657981317
2007,"Alt3",821.919700778187,768.126853114824,647000,-474.349645939652,-1767.57648873619,-1199.66363634814,-90.0962867567049,-786.141047570807
2007,"Alt4",822.108268814179,811.526946354876,618888.92236318,-2603.97886731827,-4475,-3204.99923989971,-4658.62068965517,-3844.02913604761
2007,"EXP1",907.770478061534,844.125534916549,31378.9731488803,381.273047805244,-695.352854565651,1186.51960623801,1267.49751157376,746.084851752489
2007,"EXP3",907.770478061534,844.125534916549,445500,457.456321591397,-625.795578895294,1129.70820019885,1025.65647314254,572.266475736363
2007,"NAA",822.022999325284,811.526946354876,628884.178778925,-2317.90734721499,-5000,-3059.97390760894,-4159.99999999999,-3857.32918847919
2008,"Alt1",751.194959921589,552.646414775915,476500,-1837.03853168499,-5240.60766505751,-1848.98040789574,-9124.14350972276,-8740.75936441516
2008,"Alt2v1wTUCP",780.930146663762,499.96143741028,483012.223551327,-1910.82970640118,-4400,-2606.41848947565,-3808.03571428571,-3905
2008,"Alt2v1woTUCP",780.930146663762,499.96143741028,483018.26759113,-1911.00812929095,-4400,-2603.32845538435,-3808.03571428571,-3905
2008,"Alt2v2noTUCP",780.930146663762,500.589297384102,484610.483865041,-1741.64264485981,-3349.2851988792,-2665.1800568546,-3808.03571428571,-3860.55201612609
2008,"Alt2v3noTUCP",780.930146663762,500.589297384102,485166.444942046,-1432.91343240248,-3301.6686870039,-2632.74943647251,-3808.03571428571,-3781.40867064222
2008,"Alt3",820.532301091554,507.318569222567,655400,-613.674554790676,-3109.45240870819,-572.471168072226,-5000,-5000
2008,"Alt4",770.904885192299,506.052622974606,476500,-1967.67483468111,-4400,-2373.58296213558,-5000,-3950
2008,"EXP1",705.718035248908,685.944883666353,25569.6581040225,191.772457325652,-697.86550974943,545.074168016813,1946.70542445299,1330.53165258229
2008,"EXP3",705.718035248908,685.944883666353,383500,215.272135006258,-713.883699061546,513.240978274253,1567.99789742327,766.731304352124
2008,"NAA",762.16847302483,507.318569222567,484334.425049372,-1820.02121188963,-5000,-2625.90362006799,-4415,-4070
2009,"Alt1",643.487645781482,495.284827506967,555724.99,-3063.92753402026,-5243.03123153877,-6634.9535700664,-9354.6773817273,-6086.47401108045
2009,"Alt2v1wTUCP",621.090347427761,490.306308041773,555724.99,-2852.33776062851,-4400,-3158.23849700265,-4030.35714285714,-3500
2009,"Alt2v1woTUCP",621.090347427761,490.306308041773,555724.99,-2852.01774350229,-4400,-3158.76496363018,-4030.35714285714,-3500
2009,"Alt2v2noTUCP",617.53472105369,491.51576308459,541975,-1628.93931316351,-4400,-3213.05262063017,-4030.35714285714,-1485.02473104957
2009,"Alt2v3noTUCP",617.157070820229,486.383592347641,528225.01,-1607.6949792164,-4307.08705602878,-3198.94048747016,-4030.35714285714,-1340.00581142367
2009,"Alt3",617.53472105369,490.94589404312,717823.46,-82.6907480850655,-912.916500893339,-2171.74966533732,-5000,-391.901960332956
2009,"Alt4",621.090347427761,490.306308041773,555724.99,-2920.06819095776,-4166.23542618484,-3196.47349554962,-4667.85714285714,-3500
2009,"EXP1",1026.55147458166,733.089207913603,31332.2628165704,1047.42731482082,-384.090311338384,1061.11104695595,1899.89568967992,1691.95763523808
2009,"EXP3",1026.55147458166,733.089207913603,538104.314269774,502.293125048528,-501.853273274836,976.046745590044,1534.18546366459,1119.32707645409
2009,"NAA",633.502167895718,489.071873822267,548850.01,-2308.17873931276,-4530.30964963819,-3462.92683176899,-4143.92857142857,-3500
2010,"Alt1",417.731735234818,298.281179780871,607646.868891587,-4462.54905403734,-5139.69500103057,-7585.80296003293,-3585.71301953266,2173.32266874906
2010,"Alt2v1wTUCP",423.698228151253,298.281179780871,636723.964413784,-3474.452648739,-4475,-4903.22580645161,-3797.01261655839,2772.90458950298
2010,"Alt2v1woTUCP",423.698228151253,298.281179780871,636863.661687581,-3474.74490919084,-4475,-4903.22580645161,-3806.09900996383,2772.73715713156
2010,"Alt2v2noTUCP",423.698228151253,298.281179780871,632549.244944101,-2992.00015828576,-4475,-4903.22580645161,-4223.21428571429,3459.15780042644
2010,"Alt2v3noTUCP",423.698228151253,298.281179780871,604493.369952969,-2910.14340495185,-4475,-4903.22580645161,-4223.21428571429,3512.26672127055
2010,"Alt3",434.128547290203,298.281179780871,637985.538786947,82.8517067561569,-4194.26610045191,-909.618689708261,3207.5830631872,7676.48279296313
2010,"Alt4",423.698228151253,298.281179780871,637623.632081822,-3503.07101778411,-4475,-5023.82435748176,-3852.50351667539,2543.35658511249
2010,"EXP1",478.835080564152,507.6619301874,897903.835705098,2046.1776241416,2817.47470428054,6887.79981415732,5665.69842560983,12919.3595960221
2010,"EXP3",478.835080564152,507.6619301874,952036.528936572,1533.41518247575,1091.72001840327,6273.07762898598,7172.04215450493,12759.7262341386
2010,"NAA",423.698228151253,298.281179780871,634801.479025753,-1744.22423033915,-5000,-4903.22580645161,-2290.75058598573,2573.56845835868
2011,"Alt1",602.176586872263,446.194394676139,1353974.07281555,-4290.85677777541,-5926.23140317397,-6256.60728212909,-3650.03423007133,-6247.3884929652
2011,"Alt2v1wTUCP",611.162520994067,453.161632277202,1385458.01208907,-4322.2194990727,-5000,-5084.28466080767,-3199.3334515132,-3905
2011,"Alt2v1woTUCP",611.162520994067,453.161632277202,1385427.1074461,-4322.29379415162,-5000,-5084.02215375326,-3199.04895050293,-3905
2011,"Alt2v2noTUCP",609.130358608133,456.011824298189,1387672.5605944,-4257.70830139434,-5000,-5573.10175927744,-3201.41419712138,-3860.55201612609
2011,"Alt2v3noTUCP",608.659301041028,455.088834471316,1387650.40744069,-4256.48550989964,-5000,-5573.56324092541,-3152.69655838124,-3695.36198169957
2011,"Alt3",651.090338760294,431.451789266901,1141492.03740165,4144.06152103338,-5000,-2497.52605621137,-1369.79762479062,-717.247561091219
2011,"Alt4",611.162520994067,455.128689111566,1402394.123562,-4216.43820391611,-4505,-5087.59050159072,-3198.78745833766,-3950
2011,"EXP1",583.356177316416,417.42709367699,2140339.57326868,9066.71457869535,9127.16213361457,570.611280629196,804.207040860394,1392.19977558338
2011,"EXP3",583.356177316416,417.42709367699,2104733.07473296,7626.98385981888,5593.67146363645,691.821078545299,880.455357095355,1367.33991999963
2011,"NAA",606.706161765688,459.646790132702,1398815.52839466,-2725.97903870218,-5000,-5940.01981848848,-3652.84728401261,-4070
2012,"Alt1",1018.42111613073,561.55548553028,576654.336741265,-3244.285628617,-6316.33418131108,-9441.69493695986,-5233.45748073918,-3348.18142419561
2012,"Alt2v1wTUCP",960.648711889091,643.551592317187,572445.536209351,-2911.23289546968,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v1woTUCP",960.648711889091,643.551592317187,572800.962507699,-2910.9026050505,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v2noTUCP",960.648711889091,705.831335878222,573730.146772339,-1671.54935102055,-4475,-4827.01612903226,-3875,-1519.94767846136
2012,"Alt2v3noTUCP",960.648711889091,707.731304951334,569300.639435338,-1641.79113578654,-4475,-4827.01612903226,-3850.34625199603,-1361.1908068223
2012,"Alt3",960.648711889091,710.889273334299,647000,-416.411187484965,-1189.34055951099,-4587.13869436658,-86.9278612853138,-755.8800365547
2012,"Alt4",960.648711889091,643.551592317187,572547.803397051,-2935.08946524921,-4475,-4323.54838709677,-4250,-3500
