"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
2012,"Alt1",576654.336741265,-3244.285628617,-6316.33418131108,-9441.69493695986,-5233.45748073918,-3348.18142419561
2012,"Alt2v1wTUCP",572359.486696893,-2912.62816547111,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v1woTUCP",572072.419551331,-2912.3189553807,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v2noTUCP",572916.777268415,-1672.97773812939,-4475,-4827.01612903226,-3875,-1516.68260381257
2012,"Alt2v3noTUCP",568543.678894798,-1642.96814984887,-4475,-4827.01612903226,-3850.31556285714,-1358.06217278182
2012,"Alt3",647000,-416.411187484965,-1189.34055951099,-4587.13869436658,-86.9278612853138,-755.8800365547
2012,"Alt4",572011.524163668,-2938.17968945149,-4475,-4323.54838709677,-4250,-3500
2012,"EXP1",50683.7381511693,574.720624589098,-656.271175897177,1655.03296531341,915.865794323522,748.011823981923
2012,"EXP3",445500,519.320866498134,-564.939429471875,1174.17611688468,614.13181178036,564.177514251265
2012,"NAA",596753.550010665,-2198.56635662985,-5000,-4903.22580645161,-4460,-3500
2013,"Alt1",481553.255401413,-2762.46370743949,-6007.32272376937,-2085.39942853388,-5340.83311035645,-5054.6161214747
2013,"Alt2v1wTUCP",476500,-1655.75389918774,-4400,-1483.77051786916,-3808.03571428571,-4325
2013,"Alt2v1woTUCP",476500,-1655.8716349734,-4400,-1586.9980919169,-3808.03571428571,-4325
2013,"Alt2v2noTUCP",476797.344723149,-2138.75653630712,-4400,-1292.69814430402,-3808.03571428571,-4280.55201612609
2013,"Alt2v3noTUCP",476797.488004349,-1334.63804290393,-4400,-1292.24014694851,-3808.03571428571,-4280.55201612609
2013,"Alt3",655400,-527.590154349418,-1297.29840727287,-493.984551800891,-4660.40937937279,-5000
2013,"Alt4",476500,-1653.96884638566,-4400,-1429.33326008675,-5000,-4775
2013,"EXP1",8976.54735393183,174.195279640536,-638.898503891769,26.8813540144393,1018.71939431406,946.619456912714
2013,"EXP3",383500,226.398322653246,-584.874925266782,103.314305095974,1029.90927841397,921.024331616846
2013,"NAA",476500,-1588.0224746933,-5000,-953.912943848491,-4113.88609589323,-4625
2014,"Alt1",337000,-1442.3842537809,-2172.05056211862,-6359.49487983311,-7358.52891534709,-1292.01698022552
2014,"Alt2v1wTUCP",276000,-1525.72785393951,-1459.05522593339,-4729.80239198193,-3982.14285714286,-2499.09254702349
2014,"Alt2v1woTUCP",337000,-1270.35183635256,-2421.64282191859,-4734.73714790727,-3982.14285714286,-1297.74841674613
2014,"Alt2v2noTUCP",337000,-1322.82853902986,-2384.64034915936,-4735.18855014117,-3982.14285714286,-1297.15551558789
2014,"Alt2v3noTUCP",337000,-1272.00564792189,-2453.43496373965,-4778.57860460915,-3982.14285714286,-1297.45997939842
2014,"Alt3",492000,-454.228619375396,-1536.25148459194,-1440.64548663469,-2121.12052320307,-1990.36856865184
2014,"Alt4",276000,-1488.80873258778,-1435.24682918906,-4364.05905483921,-5267.85714285714,-2283.58806007442
2014,"EXP1",0,86.568590785983,-748.818663668804,891.093274373441,876.067009200035,470.179479143505
2014,"EXP3",276000,239.9230711299,-725.172031788054,1025.19763508358,803.690804639679,471.696367445544
2014,"NAA",276000,-1409.24751534406,-1670.646639317,-4801.69092922208,-4316.42857142857,-2374.71250761453
2015,"Alt1",430000,-1468.18011555649,-1693.44750003558,-5384.02538592117,-1747.21342196723,-9035.25183231462
2015,"Alt2v1wTUCP",329391.545071837,-1114.58527654155,-1780.3025184024,-2784.69038519052,-3578.42227689381,-3905
2015,"Alt2v1woTUCP",430000,-1441.87958938271,-1605.6024825177,-4265.30513915819,-2892.10573475084,-3905
2015,"Alt2v2noTUCP",430000,-1416.96853874939,-1634.60864846515,-4526.45993700118,-2654.4706361741,-1890.02473104957
2015,"Alt2v3noTUCP",430000,-1443.80986847926,-1587.67054277861,-4138.65085043575,-2642.01953253548,-1890.02473104957
2015,"Alt3",492000,-613.01676303591,-1577.46792859194,-2367.12416890916,88.7768203223479,-5000
2015,"Alt4",317066.764113065,-1116.87231612368,-1718.02768458105,-2130.42118965024,-3858.20941888172,-3950
2015,"EXP1",0,-57.3880448846206,-985.426431643806,1058.45654777028,1098.79394445712,2729.31560233112
2015,"EXP3",276000,86.2183638879728,-955.357220561431,1184.16336647621,746.982087005721,1534.96219177158
2015,"NAA",317888.316606645,-1196.44447581631,-1934.1529784744,-3237.40568367371,-3247.84059123268,-4070
2016,"Alt1",595510.486643443,-2946.01245767894,-1607.93661425867,-8591.77328167401,15376.7991666213,-2440.01921406479
2016,"Alt2v1wTUCP",621018.392409779,-2817.94359494327,-4475,-4903.22580645161,13201.0269393834,-4101.82917411801
2016,"Alt2v1woTUCP",563832.753686022,-2816.34753041138,-4475,-4903.22580645161,13292.6910769927,-4550
2016,"Alt2v2noTUCP",558960.45312104,-2293.99824662095,-4475,-4903.22580645161,13162.9854268908,-3783.49200954132
2016,"Alt2v3noTUCP",565308.088319644,-2239.50538992031,-4475,-4903.22580645161,13154.5378964391,-3798.38795525935
2016,"Alt3",572869.161982335,-247.538116691499,-1692.81525303783,-2347.83985024584,19036.9450158665,3994.12705569728
2016,"Alt4",618094.493274781,-2829.24942535477,-4475,-4323.54838709677,13198.8858862657,-2999.1523273541
2016,"EXP1",74545.6243483041,974.886765480237,-597.179997701294,6215.16332126192,31352.0710788677,12432.9386204601
2016,"EXP3",491967.175257694,658.664381732698,-504.764087804671,3445.58241656988,29710.8082016457,11560.8333502784
2016,"NAA",600532.297723083,-2069.96035189962,-4999.99999999998,-4903.22580645161,14717.7261985833,-2645.78162520616
